PI576431	20756379	1571199	237762	1209358
PI576432	19624017	1003612	148704	772715
PI576433	22293394	1030448	161539	800751
PI576434	25812008	1295901	559043	1262332
PI576435	25655159	1399170	509767	1293659
PI576436	15545985	604763	87702	462978
PI576437	25457630	1384004	561514	1324031
PI585291	26436405	703119	1749623	1660743
PI585295	25972314	1295419	452678	1189757
PI595699	25026820	1471964	404192	1272440
PI595700	21392946	1343484	229283	1056141
PI595701	23182413	962318	155161	747457
PI595702	26909076	1067428	427799	1013005
PI595703	20326266	1534850	250935	1196543
PI595704	22415552	1481082	243292	1158790
PI595705	20497773	1202235	172658	920370
PI595706	18396740	997765	136215	760562
PI595708	22481140	1209165	215430	957776
PI595709	22736668	1135744	190759	893020
PI595710	21221051	1085952	169910	841272
PI595711	21913924	1162488	205567	918197
PI595712	23446714	1085789	162644	838735
PI595713	21488766	1431414	235173	1114597
PI595714	25617348	1323329	460052	1209927
PI595715	20903022	1288689	214256	1007265
PI595716	21781992	1097335	185705	859119
PI595717	22153684	1013464	160618	786547
PI595718	25130287	1460055	689743	1459988
PI595719	22780101	984788	155629	764135
PI595720	24780563	1560443	540943	1426129
PI595721	21674729	1309643	200862	1013821
PI595722	21365487	1331583	194136	1023011
PI595723	20913347	1464335	227389	1133519
PI595724	21480345	1303426	206178	1014259
PI595725	19209816	921083	124980	700097
PI595726	21226649	1255538	202193	974198
PI595727	21403019	1176623	183441	909670
PI595728	20526617	1432100	218540	1106725
PI595729	22339779	1337177	218808	1045897
PI595730	19606779	1539381	221917	1179351
PI595731	22585197	1246931	201584	970415
PI595732	19881279	716305	98974	547829
PI595733	22770495	1014112	160199	790138
PI595734	23487065	1035564	182165	819120
PI595735	22987917	1113976	199873	885438
PI595736	23284451	1175512	193574	920635
PI595737	24386031	855142	156561	680734
PI595738	20455775	903758	140969	702739
PI595739	26579180	1074338	393506	998719
PI595740	19177710	744486	101894	566395
PI595741	24752226	1588433	548919	1443662
PI595742	17371755	1203265	162217	913107
PI595743	22733738	935381	143925	721812
PI595744	26767757	1028297	342025	930485
PI595745	26350459	1130028	439121	1068945
PI595746	17081223	782512	114751	601407
PI595747	23310729	1171020	189470	912942
PI595748	23142465	1084069	166956	837919
PI597943	22651583	1347731	208704	1046262
PI597944	21979497	1171660	173943	903076
PI597945	22540445	939568	137065	723390
PI597946	25093833	1596549	649847	1517429
PI597947	19723263	694159	104550	534594
PI597949	25562605	1355582	549375	1293360
PI597950	21234190	1163334	194229	908703
PI597951	25108227	1666792	611031	1541605
PI597952	21458397	1163803	189252	907098
PI597953	22754350	1149567	175802	889754
PI597955	20204951	1236772	182235	949971
PI597956	19918948	1128201	157925	860586
PI597957	21871584	1385736	220933	1077428
PI597958	26432107	1233036	519463	1190938
PI597959	22688879	1107568	178331	865261
PI597960	25496063	1449149	529606	1343584
PI597961	25902150	1239719	464939	1161121
PI597962	21677036	806430	123142	624620
PI597963	16584400	693044	99469	531656
PI597964	25907260	1220204	492260	1164212
